index,INVC_CONT
32000,4.4953446
32001,4.4524245
32002,4.3768964
32003,4.5177345
32004,4.437391
32005,4.3894277
32006,4.4146667
32007,3.982825
32008,4.6599135
32009,4.7899055
32010,4.880649
32011,4.389779
32012,4.766634
32013,4.623461
32014,4.762184
32015,4.319076
32016,4.344995
32017,4.3706794
32018,4.4831486
32019,4.531482
32020,4.421451
32021,4.4212613
32022,4.4211473
32023,4.3285475
32024,4.3468046
32025,4.389779
32026,4.396298
32027,4.4085937
32028,4.4085937
32029,4.5045342
32030,4.7574515
32031,4.6136746
32032,4.3894277
32033,4.4212184
32034,4.3060145
32035,4.5078497
32036,4.3561945
32037,4.4212184
32038,4.4085937
32039,4.788244
32040,4.625299
32041,4.5074406
32042,4.4914293
32043,4.437391
32044,4.6196294
32045,4.7901483
32046,4.419098
32047,4.4585915
32048,4.4193983
32049,4.419321
32050,4.7899976
32051,4.7901325
32052,4.7417665
32053,4.4831486
32054,4.495324
32055,4.3839602
32056,4.7575936
32057,4.7575936
32058,4.679476
32059,4.7899055
32060,4.4524097
32061,4.396298
32062,4.4193563
32063,4.6205893
32064,4.4192734
32065,4.292895
32066,4.414036
32067,4.6078043
32068,4.660289
32069,4.706142
32070,4.3278384
32071,4.389778
32072,4.436336
32073,4.4585686
32074,4.4193563
32075,4.7302213
32076,4.371593
32077,4.3384714
32078,4.6143713
32079,4.3768964
32080,4.392774
32081,4.767373
32082,4.4486213
32083,4.6597743
32084,4.6234574
32085,4.6794734
32086,4.9038863
32087,4.3060017
32088,4.483129
32089,4.487012
32090,4.3384714
32091,4.3468037
32092,4.3468037
32093,4.660289
32094,4.4143567
32095,4.345031
32096,4.3768964
32097,4.4260783
32098,4.491421
32099,4.4585686
32100,4.6585865
32101,4.414663
32102,4.78945
32103,4.474584
32104,4.736222
32105,4.5111527
32106,4.4953055
32107,4.446213
32108,4.371593
32109,4.3381176
32110,4.7655025
32111,5.878382
32112,6.6432266
32113,6.76154
32114,6.532355
32115,6.532319
32116,6.532319
32117,6.532299
32118,6.093758
32119,5.886616
32120,5.590013
32121,5.494763
32122,5.3094635
32123,5.3094797
32124,5.218411
32125,5.2193594
32126,4.9118304
32127,4.930983
32128,4.9450893
32129,4.9806623
32130,4.9806623
32131,4.981538
32132,4.862369
32133,4.8595853
32134,5.5360823
32135,5.5325165
32136,5.53789
32137,5.5427914
32138,5.5427914
32139,5.542791
32140,5.573283
32141,5.5688963
32142,5.57822
32143,5.5748415
32144,5.5801945
32145,5.5801945
32146,5.6123033
32147,5.6225343
32148,5.6375427
32149,5.6375427
32150,5.6426754
32151,5.663509
32152,5.6732306
32153,5.673233
32154,5.673233
32155,5.673233
32156,5.673233
32157,5.6732345
32158,5.6732345
32159,5.6732345
32160,5.673233
32161,5.6732345
32162,5.673233
32163,5.673233
32164,5.6732345
32165,5.6782403
32166,5.683497
32167,5.683497
32168,5.683497
32169,5.688467
32170,5.683497
32171,5.683497
32172,5.683501
32173,5.719672
32174,5.7245193
32175,5.7300754
32176,5.734884
32177,5.840861
32178,6.5489335
32179,7.1127377
32180,6.9980307
32181,6.093889
32182,5.9262633
32183,5.7164607
32184,5.7093573
32185,4.3600225
32186,4.3600225
32187,4.3600225
32188,4.386345
32189,4.4124236
32190,4.418908
32191,4.438259
32192,4.438259
32193,4.476534
32194,4.4891753
32195,4.50174
32196,4.5142536
32197,4.5758243
32198,4.587957
32199,4.537001
32200,4.5200577
32201,4.5200577
32202,4.51329
32203,4.446827
32204,4.4465423
32205,4.446206
32206,4.446133
32207,4.4406905
32208,4.432078
32209,4.4316516
32210,4.3338294
32211,4.344203
32212,4.3993835
32213,4.4029403
32214,4.418902
32215,4.418903
32216,4.418903
32217,4.425972
32218,4.7703023
32219,4.7703023
32220,4.8058295
32221,4.805015
32222,4.6723685
32223,4.680751
32224,4.6909976
32225,4.8440466
32226,4.3600225
32227,4.3732147
32228,4.4510775
32229,4.5758243
32230,4.5177693
32231,4.4715176
32232,4.4652286
32233,4.4407663
32234,4.4312124
32235,4.340447
32236,4.3779945
32237,4.522388
32238,4.644544
32239,4.644544
32240,4.3993835
32241,4.3779955
32242,4.587957
32243,4.438259
32244,4.446206
32245,4.4094934
32246,4.3993855
32247,4.386345
32248,4.6372967
32249,4.4153605
32250,5.8463326
32251,4.3993835
32252,4.6624994
32253,4.3645926
32254,4.3779955
32255,4.432078
32256,4.3645926
32257,4.4029403
32258,4.6975713
32259,4.446206
32260,4.4406905
32261,4.7371106
32262,4.671909
32263,4.4113975
32264,4.532001
32265,4.670053
32266,4.4676285
32267,3.986074
32268,4.5879374
32269,4.524728
32270,4.440529
32271,4.7568603
32272,4.7568626
32273,4.51776
32274,4.511093
32275,4.3374047
32276,4.7797422
32277,4.383347
32278,4.7750864
32279,4.5089884
32280,4.5157056
32281,4.5390596
32282,4.7884197
32283,4.346745
32284,4.451062
32285,4.5758076
32286,4.451062
32287,4.514236
32288,4.334543
32289,4.9184384
32290,4.6806335
32291,4.333828
32292,4.918438
32293,4.5068197
32294,4.346745
32295,4.5068197
32296,4.4085093
32297,4.411814
32298,4.770152
32299,4.5999928
32300,4.5758076
32301,4.337763
32302,4.452966
32303,4.446126
32304,4.3529673
32305,4.386912
32306,4.755029
32307,4.8056765
32308,4.6807485
32309,4.805818
32310,4.429499
32311,4.352967
32312,4.39938
32313,4.431643
32314,4.334185
32315,4.363876
32316,4.760419
32317,4.3558383
32318,4.3768964
32319,4.7901325
32320,4.7009735
32321,4.338473
32322,4.4193625
32323,4.4120984
32324,4.2929077
32325,4.319076
32326,4.319076
32327,4.408722
32328,4.408722
32329,4.4831486
32330,4.4953313
32331,4.43848
32332,4.4219823
32333,4.421451
32334,4.3343964
32335,4.3343964
32336,4.338473
32337,4.357611
32338,4.5045342
32339,4.6063538
32340,4.62901
32341,4.6136746
32342,4.6687875
32343,4.4486227
32344,4.396097
32345,4.628816
32346,4.3285475
32347,4.371595
32348,4.625298
32349,4.4212613
32350,4.421617
32351,4.5078497
32352,4.3514366
32353,4.266503
32354,4.3320622
32355,4.4959717
32356,4.436342
32357,4.392775
32358,4.476577
32359,4.436342
32360,4.436342
32361,4.32784
32362,4.338119
32363,4.343082
32364,4.3894277
32365,4.419098
32366,4.5012097
32367,4.501211
32368,4.7899976
32369,4.408722
32370,4.4143596
32371,4.657342
32372,4.338473
32373,4.4827423
32374,4.437385
32375,4.3274846
32376,4.319059
32377,4.5012093
32378,4.6562285
32379,4.396094
32380,4.4050827
32381,4.408593
32382,4.7303696
32383,4.3514204
32384,4.4212546
32385,4.3384714
32386,4.389778
32387,4.6177974
32388,4.9134693
32389,4.421213
