index,INVC_CONT
32000,4.3993015
32001,4.410715
32002,4.44061
32003,4.553276
32004,4.530966
32005,4.4508886
32006,4.451306
32007,3.8259685
32008,4.929291
32009,4.806634
32010,4.942462
32011,4.4511814
32012,4.753169
32013,4.90189
32014,4.748602
32015,4.4456644
32016,4.438925
32017,4.4322214
32018,4.402545
32019,4.389609
32020,4.525985
32021,4.525374
32022,4.524973
32023,4.4003663
32024,4.415673
32025,4.4511814
32026,4.456498
32027,4.4665136
32028,4.4665136
32029,4.5429444
32030,4.744013
32031,4.9059486
32032,4.4508886
32033,4.525241
32034,4.4490504
32035,4.54554
32036,4.423495
32037,4.525241
32038,4.4665136
32039,4.786503
32040,4.901189
32041,4.3960533
32042,4.5142007
32043,4.530966
32044,4.922269
32045,4.8049498
32046,4.4750032
32047,4.409072
32048,4.501607
32049,4.4993258
32050,4.806052
32051,4.805067
32052,4.8581467
32053,4.402545
32054,4.3992944
32055,4.446416
32056,4.7441463
32057,4.7441463
32058,4.9314213
32059,4.806634
32060,4.4107037
32061,4.456498
32062,4.500461
32063,4.922538
32064,4.4981422
32065,4.452443
32066,4.4476213
32067,4.6230364
32068,4.9293327
32069,4.9337473
32070,4.39976
32071,4.451174
32072,4.5310984
32073,4.4090567
32074,4.500461
32075,4.719756
32076,4.4362364
32077,4.4086885
32078,4.9056063
32079,4.4405985
32080,4.453614
32081,4.8411303
32082,4.498709
32083,4.8894053
32084,4.901881
32085,4.9314137
32086,4.943199
32087,4.4490385
32088,4.4025345
32089,4.516077
32090,4.4086885
32091,4.4156594
32092,4.4156594
32093,4.9293327
32094,4.4494743
32095,4.4141803
32096,4.4405985
32097,4.480629
32098,4.5141835
32099,4.4090567
32100,4.889798
32101,4.4512944
32102,4.8089275
32103,4.520972
32104,4.8609943
32105,4.5481195
32106,4.39929
32107,4.412344
32108,4.4362364
32109,4.4084005
32110,4.8426743
32111,4.9515877
32112,5.5814495
32113,5.6040497
32114,5.58212
32115,5.582117
32116,5.582117
32117,5.5821104
32118,5.5384626
32119,5.5167503
32120,5.4843197
32121,5.473551
32122,5.4520607
32123,5.452074
32124,5.429923
32125,5.441353
32126,5.059246
32127,5.069001
32128,5.0767307
32129,5.101039
32130,5.101039
32131,5.101863
32132,5.1057053
32133,5.1054344
32134,5.589095
32135,5.606909
32136,5.609873
32137,5.6125994
32138,5.6125994
32139,5.612585
32140,5.610407
32141,5.627426
32142,5.6133137
32143,5.630884
32144,5.6144857
32145,5.6144857
32146,5.6532745
32147,5.640291
32148,5.66897
32149,5.66897
32150,5.6530514
32151,5.6855907
32152,5.691949
32153,5.691947
32154,5.691947
32155,5.691947
32156,5.691947
32157,5.691942
32158,5.691942
32159,5.691942
32160,5.691947
32161,5.691942
32162,5.691947
32163,5.691947
32164,5.691942
32165,5.6762877
32166,5.6987276
32167,5.6987276
32168,5.6987276
32169,5.683152
32170,5.6987276
32171,5.6987276
32172,5.6987247
32173,5.72322
32174,5.707906
32175,5.730425
32176,5.71519
32177,5.81172
32178,6.5252466
32179,7.16471
32180,7.103801
32181,6.4912024
32182,6.3182936
32183,5.888363
32184,5.860057
32185,4.4756603
32186,4.4756603
32187,4.4756603
32188,4.46891
32189,4.462206
32190,4.4605284
32191,4.455529
32192,4.455529
32193,4.445611
32194,4.442314
32195,4.4390297
32196,4.43577
32197,4.419553
32198,4.4163446
32199,4.5513144
32200,4.558668
32201,4.558668
32202,4.561324
32203,4.5696096
32204,4.5691347
32205,4.568536
32206,4.568404
32207,4.542887
32208,4.493641
32209,4.491809
32210,4.427005
32211,4.435363
32212,4.479125
32213,4.481908
32214,4.494351
32215,4.494356
32216,4.494356
32217,4.4998364
32218,4.7601137
32219,4.7601137
32220,4.819314
32221,4.824868
32222,4.9037676
32223,4.9410667
32224,4.942133
32225,4.951253
32226,4.4756603
32227,4.472277
32228,4.452211
32229,4.419553
32230,4.5595784
32231,4.5730667
32232,4.5740366
32233,4.5434628
32234,4.4899693
32235,4.432339
32236,4.4622955
32237,4.5731874
32238,4.912938
32239,4.912938
32240,4.479125
32241,4.462298
32242,4.4163446
32243,4.455529
32244,4.568536
32245,4.41433
32246,4.479134
32247,4.46891
32248,4.915596
32249,4.491598
32250,4.9608793
32251,4.479125
32252,4.6767187
32253,4.451667
32254,4.462298
32255,4.493641
32256,4.451667
32257,4.481908
32258,4.9427595
32259,4.568536
32260,4.542887
32261,4.7328453
32262,4.9400377
32263,4.4201636
32264,4.553582
32265,4.9044952
32266,4.5737085
32267,3.877139
32268,4.416347
32269,4.556718
32270,4.5417223
32271,4.8730774
32272,4.8730755
32273,4.559575
32274,4.5621386
32275,4.4298844
32276,4.768853
32277,4.4665213
32278,4.764411
32279,4.563132
32280,4.56818
32281,4.4292545
32282,4.85161
32283,4.47904
32284,4.4522133
32285,4.4195566
32286,4.4522133
32287,4.435768
32288,4.427573
32289,4.953727
32290,4.901163
32291,4.427004
32292,4.9537277
32293,4.563695
32294,4.47904
32295,4.563695
32296,4.411359
32297,4.4888434
32298,4.75998
32299,4.413153
32300,4.4195566
32301,4.430167
32302,4.574123
32303,4.568397
32304,4.442383
32305,4.4693317
32306,4.873987
32307,4.8209543
32308,4.941079
32309,4.8194294
32310,4.502555
32311,4.442376
32312,4.479116
32313,4.4917965
32314,4.4272747
32315,4.4510756
32316,4.8712063
32317,4.423193
32318,4.44061
32319,4.805067
32320,4.93334
32321,4.408694
32322,4.5004787
32323,4.4693413
32324,4.452445
32325,4.4456644
32326,4.4456644
32327,4.4222374
32328,4.4222374
32329,4.402545
32330,4.399292
32331,4.5307856
32332,4.5273542
32333,4.525985
32334,4.405285
32335,4.405285
32336,4.408694
32337,4.4246664
32338,4.5429444
32339,4.6219206
32340,4.899829
32341,4.9059486
32342,4.930314
32343,4.498714
32344,4.3721056
32345,4.8999033
32346,4.4003663
32347,4.436241
32348,4.9011965
32349,4.525374
32350,4.5264697
32351,4.54554
32352,4.4372463
32353,4.459257
32354,4.4422913
32355,4.5121737
32356,4.531109
32357,4.4536257
32358,4.5202513
32359,4.531109
32360,4.531109
32361,4.3997693
32362,4.40841
32363,4.4125586
32364,4.4508886
32365,4.4750023
32366,4.540326
32367,4.540328
32368,4.806052
32369,4.4222374
32370,4.4494905
32371,4.6613617
32372,4.408694
32373,4.517852
32374,4.5309486
32375,4.39946
32376,4.445657
32377,4.5403185
32378,4.890563
32379,4.3720865
32380,4.4636507
32381,4.466504
32382,4.863806
32383,4.4372315
32384,4.5253596
32385,4.4086885
32386,4.451174
32387,4.921735
32388,4.9434853
32389,4.5252304
32390,4.3928127
32391,4.526905
32392,4.511116
32393,4.4119587
32394,4.4993143
32395,4.442275
32396,4.396044
32397,4.5169687
32398,4.5311117
32399,4.369111
32400,4.4246607
32401,4.451174
32402,4.4514556
32403,4.4750004
32404,4.5429316
32405,4.8909445
32406,4.4494743
32407,4.8426743
32408,4.4492946
32409,4.423482
32410,4.9032536
32411,4.4141803
32412,4.5403147
32413,4.8870564
32414,4.469345
32415,4.9303074
32416,3.8259542
32417,4.4057918
32418,4.6207905
32419,4.3720865
32420,4.4476213
32421,4.4086885
32422,4.90594
32423,4.9291916
32424,4.9292393
32425,5.5814495
32426,5.5167437
32427,5.495105
32428,5.452074
32429,5.446705
32430,5.3884773
32431,5.3562965
32432,5.0482626
32433,5.059017
32434,5.104081
32435,5.105439
32436,5.6069164
32437,5.6125994
32438,5.6125994
32439,5.62685
32440,5.6532764
32441,5.653265
32442,5.6532736
32443,5.662611
32444,5.66897
32445,5.66897
32446,5.6689663
32447,5.6689663
32448,5.6689663
32449,5.6530514
32450,5.6530514
32451,5.6661882
32452,5.6819572
32453,5.685582
32454,5.6698694
32455,5.685582
32456,5.6855907
32457,5.6762943
32458,5.691949
32459,5.691947
32460,5.691942
32461,5.691942
32462,5.691942
32463,5.691942
32464,5.6763086
32465,5.6762877
32466,5.6762877
32467,5.691947
32468,5.6987295
32469,5.707906
32470,5.730418
32471,5.730028
32472,5.7451124
32473,5.737602
32474,5.7601805
32475,5.9498806
32476,5.956126
32477,6.5264597
32478,6.8507385
32479,6.857217
32480,7.157425
32481,7.033391
32482,6.6932373
32483,6.671439
32484,6.211178
32485,4.451667
32486,4.4655466
32487,4.455529
32488,4.442314
32489,4.419553
32490,4.4163446
32491,4.4131575
32492,4.560484
32493,4.5675745
32494,4.5696096
32495,4.569378
32496,4.569378
32497,4.5691347
32498,4.5691347
32499,4.5691347
32500,4.568145
32501,4.541726
32502,4.426711
32503,4.4356356
32504,4.449954
32505,4.4510946
32506,4.4510946
32507,4.4622955
32508,4.466522
32509,4.466522
32510,4.488844
32511,4.5631304
32512,4.5631304
32513,4.6432657
32514,4.7297163
32515,4.7688494
32516,4.7688494
32517,4.901905
32518,4.911618
32519,4.914282
32520,4.914274
32521,4.9172115
32522,4.917535
32523,4.930444
32524,4.933573
32525,4.9439793
32526,4.574123
32527,4.440952
32528,4.46891
32529,4.432502
32530,4.4163446
32531,4.5567207
32532,4.5636992
32533,4.5675745
32534,4.542887
32535,4.542887
32536,4.430169
32537,4.440952
32538,4.466522
32539,4.5631304
32540,4.575676
32541,4.912938
32542,4.914282
32543,4.9172115
32544,4.9399977
32545,4.9400845
32546,4.9431763
32547,4.9439793
32548,4.9443808
32549,4.9535847
32550,4.4552174
32551,4.4622955
32552,4.558668
32553,4.5636992
32554,4.432339
32555,4.440952
32556,4.451667
32557,4.729721
32558,4.9015303
32559,4.9399977
32560,4.944377
32561,4.960841
32562,4.6765194
32563,4.541726
32564,4.462206
32565,4.434134
32566,4.4637012
32567,4.7601137
32568,4.432339
32569,4.541726
32570,4.9015303
32571,4.9037676
